t_ms,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
0.0,0,-1,1,0,0,1,0,-1
0.0,2,-2,11,5,1,2,-3,1
19.27,1,-3,0,1,0,2,0,-1
19.27,-3,1,-6,-1,-1,-3,-1,-1
19.27,0,0,-3,-2,-1,-3,1,1
19.27,4,0,5,1,-3,1,-3,0
20.357,-2,1,-4,0,0,0,-2,0
20.357,-2,-1,-2,-1,2,-2,2,-1
21.527,-1,-1,-3,-1,0,-1,-1,-2
21.527,1,3,0,0,-2,-1,0,-1
29.648,1,0,1,1,-1,1,-3,0
29.648,-4,-1,-3,-4,1,-2,0,-1
36.24,0,2,-2,-1,0,-2,-1,1
36.24,1,2,0,-1,0,-1,-2,-2
51.105,1,-5,-2,3,-1,-1,0,0
51.105,-2,4,-8,-2,-2,0,1,0
67.811,0,-3,-2,-1,1,-1,0,-1
67.811,2,2,-1,-1,0,1,-2,-2
74.214,-1,-3,1,0,0,1,2,-1
74.214,0,-1,-3,0,-1,0,-1,-1
83.562,1,3,-2,-3,-3,1,0,-1
83.562,2,2,4,-1,0,0,-2,0
98.586,0,0,-1,-2,-1,-2,0,0
98.586,-2,-2,-3,-2,0,0,0,1
100.726,-2,-1,-1,-2,-2,0,-1,-1
100.726,-2,-1,1,0,-1,-1,-2,0
118.683,-1,1,0,-1,-2,0,-2,1
118.683,0,-6,2,1,0,0,0,0
151.099,1,2,-4,-1,-2,0,0,-1
151.099,-3,1,-8,-2,2,-1,3,-2
157.796,-1,-1,-4,-1,0,-1,1,-2
157.796,3,-1,6,3,-1,0,-3,1
157.796,-1,-2,0,0,-1,1,-3,1
157.796,-3,-15,11,2,1,2,4,1
158.837,-3,3,-4,-2,-1,-1,-1,0
158.837,3,4,1,-1,-3,1,-3,-1
165.136,2,-2,8,1,-1,1,0,0
165.136,1,2,-7,-1,-2,-1,0,-2
178.734,-2,6,-10,-5,0,-3,-1,0
178.734,1,-3,5,1,-1,1,-3,-1
187.88,1,6,-2,1,-4,0,-1,-1
187.88,-2,-1,-1,-1,-1,0,-1,0
201.423,-1,-2,-4,-1,0,0,0,1
201.423,2,3,0,-3,0,-2,-4,-2
208.603,-4,-4,6,-1,-4,-2,0,0
208.603,-1,0,-4,-1,1,0,3,1
224.676,-2,-3,2,1,-1,-2,0,-1
224.676,0,-3,3,0,-1,2,-1,1
231.185,1,-1,-1,0,-1,-1,-1,0
231.185,-3,-3,-1,0,-1,-2,0,1
247.833,-2,-11,16,2,-1,0,0,1
247.833,-1,2,-4,-1,1,0,2,-1
248.992,-1,2,-1,-1,0,0,0,-1
248.992,-2,3,-8,-3,-1,-1,-1,-2
276.764,0,-12,7,2,2,0,0,1
276.764,0,2,-2,-2,-2,-1,-1,1
279.207,-2,-2,-1,-1,3,0,0,-1
279.207,0,1,-5,-2,-2,-1,-1,-1
284.361,1,4,-4,-1,0,0,1,-2
284.361,0,-3,5,1,0,-1,0,-1
291.044,0,-2,-6,0,0,2,-2,1
291.044,0,2,2,0,-3,-2,0,0
306.926,0,3,-3,-1,1,2,0,-2
306.926,-1,-1,3,1,-1,2,-1,-1
309.213,1,0,-3,1,1,-1,1,-2
309.213,1,-1,-2,-2,0,0,-1,1
329.965,1,2,-3,-2,1,0,-2,0
329.965,1,0,0,0,-2,-1,2,1
331.151,1,-3,2,-2,0,0,0,0
331.151,0,-1,-2,0,1,0,0,-3
345.153,1,4,-1,2,-1,-1,-1,-1
345.153,-2,1,-1,1,-2,1,0,-1
351.292,0,-1,1,0,1,1,-1,2
351.292,2,2,-4,-1,-1,-2,-2,0
367.875,-4,-15,16,7,4,6,2,-1
367.875,1,1,-2,1,-1,-2,-1,0
368.921,-1,1,-1,0,-2,0,0,-2
368.921,-1,-2,-1,1,-1,0,-1,1
389.188,2,2,-5,-3,-2,0,0,-1
389.188,-1,-3,0,0,0,2,-2,0
404.739,-2,-1,6,3,3,0,-1,0
404.739,-2,3,-2,-1,-1,0,1,0
405.792,-1,4,-8,-4,-2,-5,-1,1
405.792,0,-4,3,0,1,1,0,-2
411.505,0,1,-4,-1,-3,-1,-1,1
411.505,-1,-2,2,0,0,1,1,-1
427.248,3,4,-4,-1,-1,-1,-1,0
427.248,-1,-2,2,-1,1,1,0,0
429.242,1,-1,0,-1,0,-1,-3,-2
429.242,0,-2,2,-2,0,0,0,-1
450.288,-1,2,2,-3,-1,1,-1,0
450.288,0,2,-2,-4,-2,-1,-2,-1
451.297,0,0,-1,-1,-2,-1,0,-2
451.297,1,1,-1,2,0,0,-4,1
463.31,0,9,-4,-2,1,-1,0,0
463.31,2,1,-1,-2,0,-2,-1,0
472.799,0,1,-2,-2,0,1,-1,-1
472.799,0,3,3,0,-1,-1,1,-2
487.709,0,3,-1,-1,0,-1,-3,0
487.709,0,0,1,0,0,0,1,1
488.79,1,-3,1,1,3,1,1,0
488.79,1,1,-3,-2,-1,-2,0,0
510.385,-2,-5,3,-1,-1,-1,-1,0
