pc_t_ms,emg_t_ms,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
0,0,-19,-111,-3,-45,-111,-111,-71,-47
0,0,-33,-54,-8,-71,64,-67,-20,-102
0,0,6,88,2,15,93,88,25,14
0,0,36,119,7,86,110,116,58,81
0,1,-6,-51,-5,-16,-57,-52,-41,-17
0,1,-23,-45,-3,-50,39,-54,-17,-68
0,5,-2,53,0,-7,68,50,7,-17
0,5,36,116,8,86,103,113,57,80
0,9,-4,-38,-4,-17,-48,-36,-31,-5
0,9,-21,-40,-5,-47,30,-49,-18,-62
0,11,-4,55,-1,-6,73,52,13,-15
0,11,32,99,8,72,79,98,45,74
0,26,-5,-33,0,-17,-41,-33,-34,-12
0,26,-22,-18,-5,-42,37,-35,-18,-66
0,35,5,59,-1,6,73,55,17,5
0,35,26,71,7,57,59,69,32,58
0,49,-10,-28,-5,-21,-28,-29,-30,-27
0,49,-11,8,-3,-24,53,-1,-3,-39
0,74,5,48,4,10,58,46,12,13
0,74,18,52,-2,36,43,49,17,39
0,77,-8,-11,-2,-21,-9,-13,-23,-29
0,77,-7,23,-4,-13,51,13,-1,-21
0,79,2,37,3,9,47,33,8,10
0,79,8,42,-1,19,30,40,8,21
0,90,-7,3,-2,-15,5,0,-14,-19
0,90,-4,22,0,-3,38,14,-2,-14
0,102,-1,29,-2,5,42,26,1,4
0,102,8,42,0,18,23,38,7,20
0,143,5,110,2,10,111,110,34,-1
0,143,42,121,12,95,124,120,69,105
0,147,-1,-82,-3,-4,-82,-82,-42,16
0,147,-36,-82,-7,-67,30,-87,-32,-80
0,148,-1,67,-2,2,69,65,15,-17
0,148,25,101,4,57,122,97,47,57
0,149,8,-34,10,25,-38,-34,-17,34
0,149,-29,-64,-11,-62,19,-76,-26,-69
0,154,-7,40,-2,-10,58,37,4,-27
0,154,26,101,1,59,116,96,49,56
0,161,7,-30,0,9,-41,-30,-23,28
0,161,-27,-53,-4,-55,12,-61,-28,-64
0,169,-7,51,0,-10,68,47,11,-20
0,169,23,85,3,60,83,82,41,61
0,185,1,-27,-2,-2,-30,-27,-22,7
0,185,-20,-25,-3,-47,42,-35,-18,-57
0,192,3,53,0,2,67,50,14,3
0,192,18,61,2,39,62,59,28,42
0,214,-5,-21,-2,-10,-18,-23,-23,-9
0,214,-13,-2,-2,-23,56,-5,-5,-37
0,216,3,40,-1,7,48,38,7,7
0,216,12,45,4,20,46,43,15,26
0,229,-5,-3,-5,-22,2,-6,-15,-14
0,229,-5,14,-1,-9,50,9,1,-19
0,230,0,31,4,9,41,29,3,3
0,230,7,41,-2,18,50,39,11,15
0,252,-1,9,0,-4,11,6,-10,-8
0,252,-4,16,0,-8,46,11,-2,-16
0,252,4,25,2,-4,40,23,6,1
0,252,8,43,2,23,46,38,13,15
0,275,-4,9,-2,-4,10,7,-15,-8
0,275,-5,16,0,-8,36,9,-1,-15
0,276,0,28,0,7,40,25,1,3
0,276,7,39,2,19,30,36,11,16
0,289,-5,9,-2,-9,13,7,-12,-16
0,289,-4,21,-3,-5,48,15,2,-14
0,289,0,29,2,5,40,27,7,9
0,289,4,32,5,13,33,30,5,13
0,313,-7,9,-3,-18,15,8,-11,-18
0,313,-2,25,0,1,48,22,4,-9
0,313,2,25,1,3,38,22,4,9
0,313,6,28,-1,8,26,28,4,9
0,334,-7,14,0,-3,19,11,-11,-18
0,334,1,30,-1,-11,44,24,4,-4
0,335,2,23,3,17,34,22,4,8
0,335,4,25,0,9,23,26,2,6
0,349,-7,17,-3,-17,22,13,-10,-18
0,349,0,31,2,7,40,24,4,-4
0,351,1,21,0,2,34,19,2,9
0,351,0,26,-4,4,21,24,0,6
0,371,-5,17,-1,-9,22,13,-10,-18
0,371,0,31,0,8,28,23,1,-3
0,379,3,22,-3,-3,32,20,1,8
0,379,2,24,1,8,24,22,-3,6
0,395,-4,17,-4,-11,22,14,-9,-20
0,395,2,32,-1,5,40,27,4,-4
0,395,3,22,1,8,35,18,3,6
