pc_t_ms,t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,mad_roll_mdeg,mad_pitch_mdeg,mad_yaw_mdeg,mad_us,ekf_roll_mdeg,ekf_pitch_mdeg,ekf_yaw_mdeg,traceP_1e6,ekf_us,bx_uradps,by_uradps,bz_uradps
221,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
223,24111,17328,-254,-4144,-533,-42,41,13576,650,1,8,13406,890,49,3983287,165,-1185,-1957,483
225,24121,17342,-236,-4122,-535,-40,43,13119,889,8,8,13394,843,98,3936742,165,-215,-5347,1273
226,24131,17336,-252,-4114,-531,-37,45,13602,723,2,8,13381,832,105,3850750,165,1480,-6497,1521
227,24141,17326,-300,-4012,-537,-38,37,13128,926,9,8,13291,864,45,3720575,165,18180,5,-270
230,24151,17388,-294,-4062,-541,-38,41,13522,1235,1,8,13249,882,16,3566254,165,25056,4008,-1321
240,24161,17338,-328,-4072,-535,-37,38,13078,973,10,8,13230,926,-61,3383495,165,26073,13553,-3577
250,24172,17406,-278,-4022,-545,-43,38,12744,569,14,8,13166,924,2,3201466,165,37603,11150,-3213
260,24182,17340,-268,-4126,-537,-43,41,13208,781,9,8,13203,913,-2,3022397,165,23962,7353,-2098
271,24192,17372,-294,-4104,-540,-38,49,13440,1234,5,8,13213,924,-1,2865244,165,18526,8657,-2315
281,24202,17380,-280,-4094,-549,-40,47,13193,788,8,8,13215,922,-8,2728548,165,15960,7146,-1917
291,24212,17340,-228,-4164,-549,-38,48,13682,700,1,8,13274,881,-47,2610756,165,2176,-1581,368
301,24222,17334,-280,-4222,-541,-45,52,13699,1202,0,8,13367,885,70,2513020,165,-15290,-771,414
311,24232,17344,-224,-4164,-534,-41,48,13508,739,4,8,13403,849,-52,2431074,165,-20069,-6989,2016
322,24243,17398,-192,-4174,-540,-40,51,13438,237,4,8,13430,798,-218,2365738,165,-22654,-14589,3935
332,24253,17326,-224,-4162,-543,-48,40,13512,749,3,8,13457,774,-242,2305915,165,-24731,-16766,4493
342,24264,17348,-172,-4238,-538,-34,48,13885,407,0,8,13521,722,-269,2257968,166,-32188,-22737,6031
353,24274,17328,-226,-4188,-530,-36,47,13538,778,4,8,13549,712,-231,2216209,165,-33451,-22291,5913
363,24285,17326,-228,-4164,-530,-45,40,13293,334,7,8,13559,705,-232,2182616,166,-32049,-21466,5699
374,24295,17358,-234,-4150,-534,-42,39,13466,808,6,8,13555,702,-242,2155784,165,-29082,-20181,5367
384,24305,17346,-250,-4106,-538,-37,45,12974,792,13,8,13528,709,-257,2133095,165,-23755,-17885,4774
395,24316,17370,-244,-4144,-537,-43,42,13466,781,6,8,13522,712,-263,2114446,165,-21413,-16346,4384
405,24326,17382,-306,-4026,-533,-42,35,13023,990,13,8,13456,746,-270,2098340,165,-12717,-11566,3161
416,24337,17358,-272,-4086,-542,-45,41,13460,761,6,8,13430,759,-278,2083799,165,-9129,-9420,2620
426,24347,17316,-298,-4076,-536,-40,36,13104,1089,13,8,13406,785,-341,2070519,165,-6149,-6273,1885
436,24358,17322,-316,-4086,-536,-41,46,13549,898,5,8,13390,816,-442,2057769,166,-4165,-2959,1149
464,24368,17374,-292,-4090,-540,-36,43,13083,957,12,8,13372,831,-444,2044522,165,-2288,-1435,760
465,24378,17418,-302,-4090,-544,-44,48,13547,990,4,8,13353,848,-447,2033175,165,-423,101,369
466,24388,17344,-284,-4132,-546,-45,48,13148,779,10,8,13360,857,-522,2022368,165,-954,833,270
477,24398,17332,-278,-4122,-541,-42,47,13554,982,3,8,13362,862,-555,2010933,165,-1140,1222,210
487,24408,17342,-244,-4138,-536,-40,48,13296,601,7,8,13370,853,-543,2000198,165,-1717,442,396
497,24418,17352,-264,-4184,-534,-45,45,13624,911,3,8,13393,853,-614,1991531,165,-3443,403,499
507,24428,17382,-228,-4210,-543,-43,44,13601,458,3,8,13420,839,-656,1982181,165,-5331,-605,820
517,24438,17348,-242,-4128,-540,-38,41,13346,833,6,8,13418,832,-640,1972205,165,-5007,-1118,934
527,24448,17336,-164,-4198,-535,-43,49,13644,490,2,8,13442,798,-635,1963990,165,-6539,-3478,1555
537,24459,17342,-208,-4176,-537,-43,50,13410,885,5,8,13456,782,-634,1956956,165,-7241,-4420,1804
548,24469,17358,-208,-4144,-535,-44,52,13445,429,5,8,13457,769,-641,1950795,165,-6999,-5199,2032
558,24479,17318,-226,-4104,-543,-47,43,13283,856,7,8,13448,761,-659,1944814,165,-6077,-5454,2142
568,24490,17346,-242,-4172,-539,-40,40,13704,717,1,8,13459,759,-651,1939274,167,-6542,-5338,2088
578,24500,17328,-280,-4092,-542,-41,39,13298,895,6,8,13445,770,-670,1934437,165,-5420,-4443,1886
589,24510,17354,-280,-4114,-546,-38,39,13733,938,0,8,13437,780,-683,1929846,165,-4757,-3686,1705
599,24520,17374,-284,-4046,-540,-44,43,13298,920,6,8,13409,790,-692,1925465,165,-2887,-2952,1541
609,24531,17352,-278,-4150,-544,-48,50,13726,843,0,8,13415,798,-718,1921306,166,-3093,-2404,1433
620,24541,17364,-250,-4194,-542,-41,44,13311,726,4,8,13431,797,-733,1917121,165,-3912,-2374,1443
630,24551,17348,-322,-4082,-544,-44,46,13213,1155,5,8,13416,817,-738,1912879,165,-2939,-1215,1138
