pc_t_ms,emg_t_ms,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,imu_match,imu_source_idx,imu_pc_t_ms,imu_dt_ms,imu_t_ms,imu_ax_raw,imu_ay_raw,imu_az_raw,imu_gx_raw,imu_gy_raw,imu_gz_raw,imu_mad_roll_mdeg,imu_mad_pitch_mdeg,imu_mad_yaw_mdeg,imu_mad_us,imu_ekf_roll_mdeg,imu_ekf_pitch_mdeg,imu_ekf_yaw_mdeg,imu_traceP_1e6,imu_ekf_us,imu_bx_uradps,imu_by_uradps,imu_bz_uradps
0,0,12,-62,14,25,89,3,-30,-20,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,0,104,58,10,105,114,-9,40,1,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,4,101,102,-15,97,31,-14,81,22,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,4,-69,-75,-6,-69,-83,16,-72,-7,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,5,-2,-50,4,18,53,3,-26,-11,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,5,61,24,4,63,71,-4,10,-3,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,7,113,95,1,111,69,-16,75,17,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,7,-60,-56,-10,-61,-67,12,-55,-2,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,18,-6,-46,4,3,38,4,-28,-7,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,18,58,10,2,62,79,-1,3,-5,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,19,93,88,-1,91,53,-14,67,17,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,19,-51,-47,-10,-52,-54,9,-49,-5,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,31,-4,-45,5,0,27,5,-32,-14,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,31,72,34,-8,75,78,-6,25,0,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,43,66,64,4,61,20,-7,42,9,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,43,-45,-46,-1,-44,-45,7,-48,-6,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,47,20,-25,0,30,45,1,-14,-8,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,47,54,28,9,55,59,-6,19,2,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,74,44,42,-5,43,8,-5,27,8,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,74,-25,-38,-2,-23,-19,7,-38,-3,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,74,27,-6,4,31,46,-3,-4,-6,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,74,40,23,2,41,47,-2,13,1,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,99,30,25,-1,28,10,-4,15,3,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,99,-4,-15,-2,-2,-1,3,-20,-3,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,100,27,-3,-1,27,43,0,1,-1,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
0,100,30,12,9,32,37,-1,6,1,1,0,221.000,-221.000,24101,17328,-300,-4116,-533,-43,42,13259,1066,6,8,13362,964,4,4004695,165,11,11,-2
