t_center_ms,fs_hz,angle_src,mav0,mav1,mav2,mav3,mav4,mav5,mav6,mav7,rms0,rms1,rms2,rms3,rms4,rms5,rms6,rms7,zc0,zc1,zc2,zc3,zc4,zc5,zc6,zc7,wl0,wl1,wl2,wl3,wl4,wl5,wl6,wl7,env_mean0,env_mean1,env_mean2,env_mean3,env_mean4,env_mean5,env_mean6,env_mean7,roll_mean_deg,roll_std_deg,roll_slope_degps,pitch_mean_deg,pitch_std_deg,pitch_slope_degps,imu_match_ratio
0.000000,94.851707,EKF,1.743137,20.684597,1.156367,4.314491,36.426479,20.213428,3.377709,5.549085,2.150585,23.088154,1.754544,5.387940,48.625142,22.761299,3.781171,6.933669,0.000000,3.000000,0.000000,0.000000,2.000000,3.000000,0.000000,0.000000,22.128872,208.285120,13.302411,64.454541,406.580084,204.345727,31.234382,83.371340,2.212110,28.196121,2.440435,5.027663,64.323929,28.230018,4.788935,6.674359,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,1.031340,14.609122,0.711390,4.489888,21.218925,14.065289,2.715775,5.802220,1.158725,16.181572,0.946286,5.394780,26.715737,15.535475,3.000761,7.091307,0.000000,3.000000,0.000000,0.000000,3.000000,3.000000,0.000000,0.000000,11.117295,168.484383,9.656840,56.826242,298.753140,164.599291,30.756174,76.238763,2.084203,22.309366,1.671921,5.433767,46.616845,21.989943,3.733930,7.011720,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,1.066203,11.391992,0.689223,3.617700,17.091257,11.320630,2.166444,4.589740,1.218296,12.657967,0.780213,4.352493,20.733636,12.586512,2.494565,5.979991,0.000000,3.000000,0.000000,0.000000,2.000000,3.000000,0.000000,0.000000,10.769614,133.783545,7.279082,50.427713,208.743868,134.646250,25.513298,72.251674,1.775320,18.255286,1.185914,5.194830,34.410626,17.821639,3.149252,6.860144,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,0.475928,7.804415,0.389850,2.637260,10.055093,7.631327,1.309901,3.654048,0.548017,9.087179,0.474297,2.914975,12.558546,9.012660,1.481262,4.383697,0.000000,2.000000,0.000000,0.000000,3.000000,2.000000,0.000000,0.000000,5.560118,91.057366,3.062381,24.096385,133.584552,89.174817,14.925501,38.068489,1.333165,14.090924,0.828640,4.482596,23.695021,13.737387,2.553916,6.158714,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,0.878949,11.212894,0.645756,3.401090,21.831509,10.908247,2.130122,4.572252,1.244027,14.051224,0.847446,4.546395,30.327280,13.798911,2.632466,6.273451,0.000000,2.000000,0.000000,0.000000,3.000000,2.000000,0.000000,0.000000,10.993696,119.480122,6.449388,50.456914,262.097255,115.829967,22.173853,62.486245,1.057335,12.053071,0.725396,3.944151,21.433106,11.874226,2.221125,5.534503,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,1.518199,16.303748,0.881432,4.588160,32.392521,16.048579,2.570072,6.964862,1.732794,18.043187,1.087124,5.571370,37.727575,17.770102,2.975228,8.285900,0.000000,2.000000,0.000000,0.000000,4.000000,2.000000,0.000000,1.000000,17.874761,175.923496,11.160850,58.812455,385.605678,171.828231,28.885270,85.180864,1.212843,13.048708,0.801930,4.222585,26.865749,12.879439,2.295172,6.015387,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,1.237445,11.862739,1.112029,3.746519,27.322369,11.682290,1.620345,6.325870,1.465381,14.153461,1.342859,4.511102,29.831408,13.822645,2.081275,7.277208,0.000000,1.000000,0.000000,0.000000,4.000000,2.000000,0.000000,2.000000,14.702236,166.547859,12.753495,52.607770,289.581200,162.015122,24.693556,80.941139,1.481962,14.908479,1.017123,4.838538,31.894358,14.653802,2.531125,7.058985,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,2.488975,10.930373,0.903690,3.515518,17.963484,11.149923,1.905568,4.755781,3.019496,11.979329,1.099757,4.342178,20.439183,12.167515,2.224216,5.737737,0.000000,3.000000,0.000000,0.000000,4.000000,3.000000,0.000000,0.000000,29.837212,116.349590,11.254084,44.336979,221.810793,116.514089,22.968639,56.700420,1.984537,14.945185,1.174350,4.929353,30.841595,14.791746,2.486474,7.212347,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,2.701429,6.788392,0.720631,1.757964,12.107559,6.548482,1.002641,2.664232,3.235928,7.246921,0.811501,2.278682,14.371961,7.216984,1.245817,3.210490,0.000000,3.000000,0.000000,0.000000,2.000000,3.000000,0.000000,0.000000,24.914486,65.772899,9.825981,22.318414,131.211210,61.197635,11.338202,34.441385,2.530341,12.403871,1.123392,4.221963,24.041379,12.426662,2.077770,6.031184,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,1.453538,4.484287,0.685553,1.330513,7.341218,3.878558,1.007706,2.156166,1.932697,5.041766,0.746762,1.623569,8.912561,4.637107,1.185337,2.456330,0.000000,1.000000,0.000000,0.000000,2.000000,1.000000,0.000000,0.000000,19.502079,47.080763,10.420104,16.133356,94.105047,46.462399,11.211448,20.921374,2.714823,9.171059,0.981157,3.229120,17.617167,9.324139,1.659444,4.348837,13.298000,0.000000,,1.971000,0.000000,,1.000000
