pc_t_ms,emg_t_ms,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,imu_match,imu_source_idx,imu_pc_t_ms,imu_dt_ms,imu_t_ms,imu_ax_raw,imu_ay_raw,imu_az_raw,imu_gx_raw,imu_gy_raw,imu_gz_raw,imu_mad_roll_mdeg,imu_mad_pitch_mdeg,imu_mad_yaw_mdeg,imu_mad_us,imu_ekf_roll_mdeg,imu_ekf_pitch_mdeg,imu_ekf_yaw_mdeg,imu_traceP_1e6,imu_ekf_us,imu_bx_uradps,imu_by_uradps,imu_bz_uradps,emg_dc0,emg_dc1,emg_dc2,emg_dc3,emg_dc4,emg_dc5,emg_dc6,emg_dc7,emg_hp0,emg_hp1,emg_hp2,emg_hp3,emg_hp4,emg_hp5,emg_hp6,emg_hp7,emg_rect0,emg_rect1,emg_rect2,emg_rect3,emg_rect4,emg_rect5,emg_rect6,emg_rect7,emg_env0,emg_env1,emg_env2,emg_env3,emg_env4,emg_env5,emg_env6,emg_env7
0,0,-3,-44,4,1,-111,-45,-8,4,1,0,197.000,-197.000,1125862,17304,-782,-3974,-534,-45,51,34987,-20895,5678,7,13298,1971,-44464,556601,165,-380,2331,9376,-2.637955,-43.606455,4.487264,1.433210,-112.528096,-44.630760,-7.620066,4.386156,-2.637955,-43.606455,4.487264,1.433210,-112.528096,-44.630760,-7.620066,4.386156,2.637955,43.606455,4.487264,1.433210,112.528096,44.630760,7.620066,4.386156,2.637955,43.606455,4.487264,1.433210,112.528096,44.630760,7.620066,4.386156
0,0,-2,-40,-1,-18,-8,-37,-8,-21,1,0,197.000,-197.000,1125862,17304,-782,-3974,-534,-45,51,34987,-20895,5678,7,13298,1971,-44464,556601,165,-380,2331,9376,-1.637955,-39.606455,-0.512736,-17.566790,-9.528096,-36.630760,-7.620066,-20.613844,-0.704544,-17.036178,-0.220546,-7.556116,-4.098381,-15.756223,-3.277668,-8.866765,0.704544,17.036178,0.220546,7.556116,4.098381,15.756223,3.277668,8.866765,1.930698,33.104035,3.176805,5.438243,79.622136,33.467621,5.865514,6.994922
0,1,1,15,-2,-1,55,14,2,-7,1,0,197.000,-197.000,1125862,17304,-782,-3974,-534,-45,51,34987,-20895,5678,7,13298,1971,-44464,556601,165,-380,2331,9376,1.362045,15.393545,-1.512736,-0.566790,53.471904,14.369240,2.379934,-6.613844,0.987359,16.329622,-0.525001,4.062158,25.335731,15.159631,2.891520,2.207991,0.987359,16.329622,0.525001,4.062158,25.335731,15.159631,2.891520,2.207991,1.676312,28.626391,2.611501,5.021624,66.636498,28.693656,5.071798,5.851869
0,1,6,54,-1,14,99,53,6,18,1,0,197.000,-197.000,1125862,17304,-782,-3974,-534,-45,51,34987,-20895,5678,7,13298,1971,-44464,556601,165,-380,2331,9376,6.362045,54.393545,-0.512736,14.433210,97.471904,53.369240,6.379934,18.386156,2.575381,23.799285,0.204314,8.199328,29.823822,23.296029,2.964294,11.703148,2.575381,23.799285,0.204314,8.199328,29.823822,23.296029,2.964294,11.703148,1.940532,27.499167,2.263932,5.976602,59.604381,27.443955,4.635635,7.741072
0,2,-7,-20,2,3,-63,-20,-4,2,1,0,197.000,-197.000,1125862,17304,-782,-3974,-534,-45,51,34987,-20895,5678,7,13298,1971,-44464,556601,165,-380,2331,9376,-6.637955,-19.606455,2.487264,3.433210,-64.528096,-19.630760,-3.620066,2.386156,-4.484008,-21.593155,1.378292,-1.204671,-56.853786,-21.379487,-3.026313,-1.848233,4.484008,21.593155,1.378292,1.204671,56.853786,21.379487,3.026313,1.848233,2.652130,26.423782,2.116660,5.372715,59.064510,26.342988,4.361537,6.972987
0,2,-3,-30,-2,-12,-7,-28,-6,-15,1,0,197.000,-197.000,1125862,17304,-782,-3974,-534,-45,51,34987,-20895,5678,7,13298,1971,-44464,556601,165,-380,2331,9376,-2.637955,-29.606455,-1.512736,-11.566790,-8.528096,-27.630760,-5.620066,-14.613844,-0.208189,-13.589366,-1.127692,-6.970219,-0.367244,-12.637187,-2.162000,-8.107311,0.208189,13.589366,1.127692,6.970219,0.367244,12.637187,2.162000,8.107311,2.422544,24.751269,1.986325,5.670307,53.918483,24.594931,4.078179,7.174506
0,5,-1,-6,-1,-5,27,-4,-1,-10,1,0,197.000,-197.000,1125862,17304,-782,-3974,-534,-45,51,34987,-20895,5678,7,13298,1971,-44464,556601,165,-380,2331,9376,-0.637955,-5.606455,-0.512736,-4.566790,25.471904,-3.630760,-0.620066,-9.613844,0.770723,4.477993,-0.054925,0.012810,14.466673,4.887560,1.220727,-1.336568,0.770723,4.477993,0.054925,0.012810,14.466673,4.887560,1.220727,1.336568,2.261679,22.977643,1.839097,5.249686,50.217386,22.845293,3.803747,6.661485
0,5,3,55,-2,14,97,52,8,17,1,0,197.000,-197.000,1125862,17304,-782,-3974,-534,-45,51,34987,-20895,5678,7,13298,1971,-44464,556601,165,-380,2331,9376,3.362045,55.393545,-1.512736,14.433210,95.471904,52.369240,8.379934,17.386156,2.052062,28.164468,-0.453762,8.178102,36.332191,26.189956,4.396307,11.038777,2.052062,28.164468,0.453762,8.178102,36.332191,26.189956,4.396307,11.038777,2.236551,23.688187,1.727782,5.698638,48.698729,23.289659,3.882765,7.352570
0,19,-2,-14,3,3,-51,-16,-3,7,1,0,197.000,-197.000,1125862,17304,-782,-3974,-534,-45,51,34987,-20895,5678,7,13298,1971,-44464,556601,165,-380,2331,9376,-1.637955,-13.606455,3.487264,3.433210,-52.528096,-15.630760,-2.620066,7.386156,-1.268016,-17.564849,1.955503,-1.213801,-48.032390,-17.984022,-2.840489,0.446816,1.268016,17.564849,1.955503,1.213801,48.032390,17.984022,2.840489,0.446816,2.150585,23.088154,1.754544,5.387940,48.625142,22.761299,3.781171,6.933669
0,19,-2,-26,1,-8,-18,-24,-6,-12,1,0,197.000,-197.000,1125862,17304,-782,-3974,-534,-45,51,34987,-20895,5678,7,13298,1971,-44464,556601,165,-380,2331,9376,-1.637955,-25.606455,1.487264,-7.566790,-19.528096,-23.630760,-5.620066,-11.613844,-0.545420,-12.716918,-0.019140,-5.253601,-6.465978,-11.176674,-2.512207,-7.980400,0.545420,12.716918,0.019140,5.253601,6.465978,11.176674,2.512207,7.980400,2.047502,22.269454,1.664518,5.374657,46.175154,21.880605,3.674051,7.045344
