t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,mad_roll_mdeg,mad_pitch_mdeg,mad_yaw_mdeg,mad_us,ekf_roll_mdeg,ekf_pitch_mdeg,ekf_yaw_mdeg,traceP_1e6,ekf_us,bx_uradps,by_uradps,bz_uradps
15901,17404,-1058,-3434,-520,-44,43,11209,3806,-3,8,11161,3412,0,4004531,165,0,5,-1
15911,17388,-1024,-3452,-527,-48,33,11230,3275,-4,8,11195,3358,-32,3985427,165,-957,-1474,350
15922,17420,-1036,-3414,-523,-45,47,10737,3499,24,8,11158,3351,-29,3935555,166,2079,-1992,271
15932,17390,-1042,-3436,-526,-39,45,11251,3340,-6,8,11162,3354,-29,3841250,165,1268,-1422,207
15942,17374,-986,-3430,-531,-47,45,10994,2867,7,8,11163,3309,-28,3701490,165,976,-9828,1883
15953,17428,-978,-3450,-529,-42,46,11298,3292,-9,8,11171,3265,-22,3536004,166,-934,-18097,3627
15963,17414,-976,-3452,-529,-40,39,11025,2831,4,8,11181,3227,-14,3347859,165,-3365,-24331,4999
15973,17392,-1004,-3434,-525,-50,41,11203,3337,-4,8,11180,3219,-17,3154928,165,-2481,-22624,4611
15984,17430,-1010,-3430,-524,-46,44,10855,2926,14,8,11169,3217,-24,2978896,165,301,-19942,3922
15994,17394,-1018,-3442,-528,-47,44,11217,3311,-5,8,11175,3225,-26,2818928,165,-1006,-15572,3135
16005,17374,-950,-3468,-532,-42,39,11370,2790,-14,8,11203,3179,-35,2681028,165,-6805,-22902,4918
16016,17404,-988,-3432,-530,-45,50,11114,3263,-1,8,11195,3170,-36,2568886,165,-4373,-21890,4582
16026,17400,-970,-3444,-522,-43,38,11390,2810,-15,8,11197,3150,-37,2476626,165,-4294,-22986,4795
16037,17386,-990,-3424,-522,-47,38,11102,3258,0,8,11186,3149,-35,2400471,165,-2009,-20634,4204
16047,17392,-1012,-3430,-528,-50,45,11607,3344,-29,8,11181,3165,-40,2339346,165,-899,-16161,3261
16058,17414,-966,-3418,-523,-48,45,11136,3130,-2,8,11166,3147,-17,2290037,165,1532,-17405,3367
16068,17388,-1026,-3454,-524,-49,45,11380,3581,-16,8,11179,3171,-58,2249327,165,-480,-12379,2500
16079,17392,-1024,-3358,-518,-44,44,10939,3315,10,8,11130,3191,21,2215484,165,6217,-8666,1372
16089,17402,-1062,-3426,-521,-47,45,11374,3559,-15,8,11129,3230,-50,2188032,165,5964,-3033,329
16100,17410,-968,-3470,-532,-47,41,11259,3065,-8,8,11151,3209,-111,2165298,165,2791,-5283,978
16110,17414,-1020,-3496,-522,-43,47,11451,3525,-19,8,11183,3220,-194,2146556,165,-1207,-3673,925
16121,17446,-988,-3418,-521,-47,48,11084,3180,1,8,11168,3212,-160,2129992,165,584,-4358,944
16131,17436,-1026,-3350,-524,-51,50,10669,3432,25,8,11122,3225,-68,2116325,165,5554,-2792,314
16141,17384,-1012,-3424,-525,-44,43,11133,3271,-1,8,11122,3230,-85,2105037,165,5170,-2057,206
16152,17366,-1000,-3438,-532,-39,45,11553,3019,-24,8,11130,3229,-111,2095517,166,3968,-1983,275
16162,17436,-1010,-3482,-524,-36,46,11184,3348,-4,8,11150,3231,-153,2088078,165,1768,-1660,362
16173,17388,-1010,-3386,-528,-50,50,10753,3125,19,8,11131,3235,-121,2081064,166,3471,-1269,169
16183,17414,-986,-3388,-520,-51,50,11224,3227,-6,8,11113,3228,-96,2075623,165,4906,-1926,196
