t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,mad_roll_mdeg,mad_pitch_mdeg,mad_yaw_mdeg,mad_us,ekf_roll_mdeg,ekf_pitch_mdeg,ekf_yaw_mdeg,traceP_1e6,ekf_us,bx_uradps,by_uradps,bz_uradps
135701,17386,-822,-2318,-531,-39,40,7269,2629,24,8,7594,2683,9,4003776,165,8,-1,0
135711,17396,-790,-2366,-526,-38,37,7801,2569,0,8,7669,2629,93,3981360,165,-2545,-1775,353
135721,17368,-800,-2392,-532,-43,40,8171,2962,-17,8,7732,2622,144,3922911,165,-8224,-2270,680
135732,17386,-828,-2352,-527,-44,38,7691,2695,6,8,7727,2645,156,3815157,165,-6656,1515,93
135742,17414,-844,-2320,-531,-39,38,7224,2945,29,8,7693,2673,166,3665367,165,1428,7358,-1077
135752,17382,-814,-2360,-535,-42,39,7696,2676,6,8,7703,2672,162,3476664,165,-1078,6038,-780
135762,17382,-840,-2334,-531,-43,38,7373,3107,22,8,7689,2693,166,3275027,165,2675,10418,-1549
135773,17400,-850,-2374,-531,-46,37,7787,2755,1,8,7709,2717,148,3080796,166,-2602,15092,-1927
135783,17378,-842,-2322,-535,-48,32,7249,2736,26,8,7684,2732,171,2899675,165,3771,16520,-2430
135793,17414,-824,-2362,-532,-42,32,7781,2677,1,8,7693,2727,168,2748000,165,1372,13276,-1877
135804,17354,-836,-2294,-534,-34,35,7262,2793,26,8,7650,2734,179,2614609,166,10304,13188,-2297
135814,17410,-812,-2304,-530,-40,43,7736,2542,4,8,7618,2719,203,2510584,165,15379,8568,-1932
135824,17414,-812,-2322,-526,-38,43,7312,2854,24,8,7605,2707,224,2425992,165,15994,5134,-1513
135835,17380,-796,-2306,-530,-37,41,7679,2472,7,8,7587,2684,241,2355301,166,17543,657,-1003
135845,17356,-802,-2322,-527,-43,34,7487,2955,17,8,7586,2671,266,2297775,165,15952,-1643,-637
135855,17412,-786,-2348,-529,-44,37,7717,2484,6,8,7598,2647,304,2253286,165,12663,-5089,-52
135865,17398,-836,-2322,-532,-39,37,7495,2948,16,8,7593,2661,316,2215883,165,12336,-2674,-358
135876,17406,-806,-2318,-527,-44,42,7636,2447,10,8,7585,2653,313,2185272,166,12350,-3521,-247
135886,17404,-762,-2336,-532,-39,38,7751,2950,4,8,7590,2620,302,2160055,165,10725,-7588,352
135896,17396,-878,-2334,-530,-41,42,7357,2638,24,8,7594,2660,368,2139208,165,9435,-2049,-338
135906,17376,-854,-2346,-529,-41,35,7817,2846,2,8,7606,2681,398,2120678,165,7332,658,-604
135916,17406,-792,-2368,-533,-42,39,7691,2371,7,8,7625,2665,340,2104931,165,4601,-1206,-199
135927,17410,-792,-2310,-531,-49,37,7424,2792,20,8,7613,2651,310,2092527,165,5751,-2646,-45
135937,17444,-838,-2334,-529,-42,39,7891,2634,-1,8,7611,2661,333,2082899,165,5582,-1460,-203
135947,17400,-826,-2296,-535,-40,41,7401,2713,20,8,7594,2665,352,2074139,165,6972,-956,-340
135957,17332,-810,-2360,-532,-39,35,7885,2627,-2,8,7615,2662,327,2066222,165,4556,-1142,-194
135968,17382,-854,-2378,-540,-43,40,7631,3051,9,8,7637,2679,344,2060181,166,2221,498,-313
135978,17408,-822,-2410,-534,-46,41,7898,2654,-3,8,7668,2679,289,2054868,166,-728,495,-136
135988,17428,-860,-2340,-534,-36,35,7484,2893,16,8,7666,2695,359,2050690,165,-485,1820,-385
135998,17408,-818,-2386,-530,-38,33,7875,2614,-2,8,7683,2691,306,2046534,165,-1957,1516,-227
136008,17394,-806,-2288,-525,-42,40,7394,2634,19,8,7660,2685,321,2043411,165,1,868,-241
136018,17400,-812,-2344,-539,-45,41,7852,2656,-1,8,7662,2681,307,2041017,165,-103,514,-177
136028,17428,-826,-2286,-536,-41,37,7386,2697,19,8,7640,2682,335,2039325,165,1575,582,-282
136038,17438,-798,-2342,-532,-44,41,7821,2530,0,8,7641,2673,326,2037938,165,1500,-122,-183
136048,17458,-792,-2384,-531,-51,41,7485,2849,15,8,7655,2662,309,2037049,165,461,-879,-35
136058,17390,-822,-2350,-531,-41,38,7844,2563,-1,8,7659,2664,311,2036403,165,144,-727,-48
136068,17392,-818,-2340,-535,-36,36,7448,2792,16,8,7659,2664,311,2036039,165,117,-690,-52
136078,17364,-842,-2364,-526,-39,41,7898,2731,-4,8,7669,2673,319,2035912,165,-545,-78,-122
136088,17414,-832,-2328,-532,-44,36,7446,2699,16,8,7664,2676,330,2036044,165,-186,164,-182
136098,17392,-850,-2328,-522,-40,43,7863,2873,-2,8,7660,2686,345,2036298,165,66,761,-289
136108,17380,-808,-2306,-529,-46,44,7512,2604,14,8,7650,2682,362,2036570,165,690,459,-293
136118,17400,-860,-2274,-529,-35,45,7371,3028,21,8,7630,2695,387,2036946,165,1855,1143,-454
136129,17386,-842,-2314,-531,-39,42,7642,2666,7,8,7624,2701,388,2037177,166,2118,1428,-501
136139,17470,-820,-2300,-535,-46,41,7202,2659,27,8,7613,2698,421,2037663,166,2729,1232,-550
136149,17426,-848,-2336,-524,-47,39,7633,2760,7,8,7613,2705,402,2037785,165,2616,1539,-551
136159,17396,-816,-2318,-531,-35,38,7455,2358,15,8,7610,2701,417,2038322,165,2722,1324,-554
136169,17406,-824,-2304,-529,-40,42,7565,2786,10,8,7602,2701,434,2038865,165,3035,1245,-582
136179,17408,-812,-2342,-527,-37,42,7815,2424,0,8,7605,2697,439,2039332,165,2761,999,-552
136189,17364,-824,-2406,-530,-44,40,7929,2839,-5,8,7628,2698,406,2039835,165,1521,980,-452
