t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,mad_roll_mdeg,mad_pitch_mdeg,mad_yaw_mdeg,mad_us,ekf_roll_mdeg,ekf_pitch_mdeg,ekf_yaw_mdeg,traceP_1e6,ekf_us,bx_uradps,by_uradps,bz_uradps
18094,17484,-548,-2154,-520,-46,57,6707,1855,16,8,7023,1781,6,4003996,166,8,2,0
18104,17428,-526,-2278,-521,-45,56,7233,1755,0,8,7240,1747,-21,3981943,166,-6930,-1070,350
18114,17450,-530,-2280,-526,-47,54,7760,1679,-15,8,7314,1738,-24,3927244,166,-13226,-1708,624
18124,17432,-492,-2202,-521,-51,60,7235,1608,0,8,7286,1698,-126,3825024,166,-7548,-7831,1242
18134,17454,-530,-2266,-526,-49,58,7664,1915,-14,8,7319,1702,-92,3680703,166,-13382,-6119,1195
18144,17426,-514,-2322,-529,-46,52,7508,1410,-9,8,7394,1692,-67,3500083,166,-29835,-7508,1865
18154,17454,-560,-2268,-526,-44,57,7378,1920,-6,8,7409,1721,3,3307076,166,-29289,1075,727
18164,17426,-512,-2250,-521,-50,57,7334,1397,-4,8,7409,1708,-6,3111625,166,-24712,-2394,1040
18174,17456,-494,-2198,-529,-51,55,7022,1814,3,8,7361,1681,-9,2935844,166,-9471,-8483,1373
18184,17446,-570,-2262,-531,-46,59,7535,1872,-13,8,7372,1721,-66,2781260,166,-10678,1801,94
18194,17466,-570,-2322,-528,-54,52,7991,1632,-27,8,7425,1753,-136,2652555,166,-20859,8662,-468
18204,17500,-648,-2316,-525,-51,53,7637,2000,-16,8,7461,1837,-180,2547015,166,-25599,24782,-2432
18214,17474,-582,-2226,-519,-48,55,7149,1860,0,8,7426,1860,-42,2455651,166,-15994,26496,-3031
18224,17462,-658,-2256,-517,-43,55,7455,2264,-10,8,7418,1935,-80,2381639,166,-13012,37086,-4524
18234,17472,-642,-2290,-520,-42,53,7487,1758,-11,8,7434,1984,-154,2321713,166,-14484,41798,-5064
18244,17424,-622,-2254,-518,-49,58,7286,2224,-4,8,7428,2012,-111,2270597,166,-12005,42429,-5269
18254,17408,-600,-2246,-516,-44,56,7406,1733,-7,8,7417,2020,-39,2229385,166,-9414,39946,-5079
18264,17434,-558,-2214,-521,-44,60,6959,1958,6,8,7387,2000,101,2196811,166,-4250,33654,-4531
18274,17464,-552,-2172,-530,-43,61,7271,1569,-3,8,7334,1978,194,2168936,166,3250,28065,-4170
18284,17458,-572,-2250,-532,-41,61,7390,2050,-7,8,7334,1971,300,2143075,166,2977,25009,-3821
18294,17452,-598,-2186,-526,-46,65,6936,1864,7,8,7299,1979,230,2117794,166,7105,24171,-3861
18304,17498,-574,-2156,-527,-43,59,7424,1866,-8,8,7252,1973,187,2098933,166,12275,21709,-3777
18314,17476,-600,-2258,-530,-51,62,7132,2259,1,8,7263,1980,282,2083170,166,10197,21077,-3656
18324,17494,-602,-2234,-526,-45,56,7341,1820,-6,8,7261,1987,315,2067987,166,9883,20466,-3586
18334,17498,-626,-2236,-524,-42,63,7211,2286,-2,8,7259,2004,314,2054140,166,9476,20964,-3622
18344,17454,-600,-2222,-519,-45,58,7274,1807,-4,8,7253,2007,338,2041852,166,9455,20043,-3526
18354,17424,-562,-2312,-518,-40,60,7750,1847,-18,8,7292,1992,542,2030407,166,5165,17492,-3088
18364,17420,-562,-2238,-521,-47,59,7274,1831,-3,8,7294,1979,554,2012017,166,4770,15303,-2795
18374,17472,-550,-2246,-510,-46,62,7635,1523,-13,8,7295,1962,559,1995944,166,4388,12991,-2485
18384,17450,-524,-2212,-510,-47,61,7204,1715,0,8,7284,1936,477,1981018,166,5174,10059,-2104
18394,17480,-500,-2308,-519,-39,57,7653,1586,-12,8,7310,1904,639,1971202,166,2732,6852,-1716
18404,17438,-518,-2220,-515,-39,59,7200,1701,0,8,7301,1881,531,1954940,166,3275,4668,-1376
18414,17448,-528,-2264,-521,-47,57,7662,1742,-12,8,7311,1864,584,1944954,166,2414,3145,-1201
18424,17464,-544,-2300,-525,-51,54,7208,1817,1,8,7332,1855,734,1934307,166,755,2306,-1168
18434,17424,-522,-2322,-528,-46,58,7649,1683,-12,8,7361,1839,898,1917924,166,-1416,996,-1070
18444,17414,-546,-2310,-533,-48,56,7330,2015,-3,8,7384,1833,1030,1894074,166,-2965,513,-1078
18454,17430,-570,-2268,-530,-41,60,7543,1609,-10,8,7388,1836,1063,1865291,166,-3175,686,-1131
