t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,mad_roll_mdeg,mad_pitch_mdeg,mad_yaw_mdeg,mad_us,ekf_roll_mdeg,ekf_pitch_mdeg,ekf_yaw_mdeg,traceP_1e6,ekf_us,bx_uradps,by_uradps,bz_uradps
419311,17488,-548,-2188,-525,-45,60,0,0,0,0,7069,1784,15940,136418,877,185,-316,-1746
419321,17456,-558,-2168,-523,-46,63,0,0,0,0,7069,1785,15941,136435,877,185,-316,-1746
419331,17476,-562,-2140,-522,-43,65,0,0,0,0,7065,1787,15942,136452,877,186,-316,-1746
419341,17440,-544,-2098,-523,-46,58,0,0,0,0,7057,1786,15943,136469,877,186,-316,-1746
419351,17456,-570,-2146,-525,-48,61,0,0,0,0,7056,1789,15942,136486,877,186,-316,-1746
419361,17484,-518,-2162,-525,-45,65,0,0,0,0,7055,1785,15946,136502,877,186,-316,-1746
419371,17462,-564,-2182,-520,-42,57,0,0,0,0,7057,1786,15946,136519,877,186,-316,-1746
419381,17470,-616,-2208,-524,-44,63,0,0,0,0,7063,1794,15942,136536,877,186,-315,-1745
419391,17470,-592,-2188,-523,-50,65,0,0,0,0,7066,1799,15941,136553,877,186,-315,-1745
419401,17460,-558,-2256,-522,-36,57,0,0,0,0,7076,1800,15935,136569,877,185,-315,-1744
419411,17466,-546,-2122,-523,-40,63,0,0,0,0,7070,1799,15939,136586,877,185,-315,-1745
419421,17462,-548,-2190,-526,-40,64,0,0,0,0,7072,1798,15938,136602,877,185,-315,-1745
419431,17424,-558,-2132,-524,-36,62,0,0,0,0,7068,1799,15941,136619,877,185,-315,-1745
419441,17436,-580,-2148,-517,-46,68,0,0,0,0,7066,1803,15943,136636,877,185,-315,-1745
419462,17466,-562,-2194,-521,-45,62,0,0,0,0,7070,1805,15942,136671,877,185,-314,-1745
419471,17484,-528,-2136,-524,-48,64,0,0,0,0,7067,1802,15945,136686,877,185,-315,-1745
419481,17482,-600,-2178,-526,-46,62,0,0,0,0,7068,1807,15945,136702,877,185,-314,-1745
419491,17400,-568,-2152,-528,-39,61,0,0,0,0,7067,1809,15946,136718,877,185,-314,-1745
419501,17450,-574,-2170,-523,-43,63,0,0,0,0,7067,1811,15947,136735,877,185,-314,-1745
419511,17448,-532,-2164,-527,-42,64,0,0,0,0,7067,1808,15947,136751,877,185,-314,-1745
419521,17424,-568,-2154,-522,-49,66,0,0,0,0,7066,1810,15949,136768,877,185,-314,-1745
419531,17430,-582,-2176,-521,-45,65,0,0,0,0,7068,1814,15949,136784,877,185,-314,-1745
419541,17424,-530,-2118,-518,-48,62,0,0,0,0,7063,1811,15954,136800,877,186,-314,-1745
419551,17450,-528,-2182,-515,-45,66,0,0,0,0,7065,1807,15954,136817,877,185,-314,-1745
419561,17490,-532,-2142,-521,-45,62,0,0,0,0,7062,1804,15957,136834,877,186,-315,-1745
419571,17436,-552,-2206,-520,-49,55,0,0,0,0,7068,1804,15956,136851,877,185,-315,-1745
419581,17462,-530,-2196,-525,-46,56,0,0,0,0,7071,1800,15955,136868,877,185,-315,-1745
419591,17442,-548,-2158,-520,-45,61,0,0,0,0,7070,1800,15957,136885,877,185,-315,-1745
419601,17456,-560,-2212,-516,-48,59,0,0,0,0,7076,1800,15957,136902,877,184,-315,-1745
419611,17410,-568,-2186,-519,-49,62,0,0,0,0,7079,1802,15959,136918,877,184,-315,-1745
419621,17454,-588,-2206,-521,-46,67,0,0,0,0,7084,1807,15961,136935,877,184,-314,-1745
419631,17464,-536,-2164,-518,-47,56,0,0,0,0,7083,1804,15961,136952,877,184,-315,-1745
419641,17414,-556,-2164,-517,-47,58,0,0,0,0,7083,1804,15962,136968,877,184,-314,-1745
419651,17458,-550,-2140,-524,-48,59,0,0,0,0,7080,1803,15964,136985,877,184,-315,-1745
419661,17444,-584,-2154,-524,-50,59,0,0,0,0,7078,1807,15967,137001,877,184,-314,-1745
419671,17482,-566,-2168,-522,-44,61,0,0,0,0,7078,1808,15969,137018,877,184,-314,-1745
419681,17446,-562,-2164,-521,-47,63,0,0,0,0,7078,1809,15971,137035,877,184,-314,-1745
419691,17480,-514,-2232,-517,-46,63,0,0,0,0,7085,1803,15966,137052,877,184,-314,-1745
419701,17474,-566,-2208,-516,-47,60,0,0,0,0,7089,1805,15967,137068,877,183,-314,-1745
419711,17476,-572,-2186,-519,-44,56,0,0,0,0,7090,1806,15970,137085,877,183,-314,-1745
419721,17466,-576,-2122,-526,-44,65,0,0,0,0,7084,1809,15975,137101,877,184,-314,-1745
419731,17490,-512,-2178,-515,-45,60,0,0,0,0,7084,1803,15974,137117,877,184,-314,-1745
419741,17508,-548,-2178,-515,-43,63,0,0,0,0,7084,1803,15975,137134,877,184,-315,-1745
419751,17444,-582,-2178,-520,-48,59,0,0,0,0,7086,1806,15977,137151,877,184,-314,-1745
419761,17466,-550,-2178,-520,-49,67,0,0,0,0,7087,1806,15978,137168,877,183,-314,-1745
419771,17484,-560,-2174,-518,-47,64,0,0,0,0,7087,1806,15980,137184,877,183,-314,-1745
419781,17494,-556,-2152,-518,-48,64,0,0,0,0,7084,1806,15982,137201,877,184,-314,-1745
419791,17476,-530,-2186,-525,-46,64,0,0,0,0,7086,1803,15981,137218,877,184,-314,-1745
419801,17430,-570,-2178,-522,-44,60,0,0,0,0,7087,1805,15982,137235,877,183,-314,-1745
419811,17490,-566,-2196,-526,-45,61,0,0,0,0,7089,1806,15983,137252,877,183,-314,-1745
419821,17498,-532,-2236,-526,-44,54,0,0,0,0,7096,1803,15980,137268,877,183,-314,-1745
419831,17448,-576,-2158,-522,-49,58,0,0,0,0,7095,1805,15984,137285,877,183,-314,-1745
419841,17420,-568,-2152,-523,-45,58,0,0,0,0,7093,1806,15987,137301,877,183,-314,-1745
419851,17484,-576,-2216,-525,-46,63,0,0,0,0,7097,1809,15987,137318,877,183,-314,-1745
419861,17446,-552,-2146,-524,-44,64,0,0,0,0,7094,1809,15989,137334,877,183,-314,-1745
419871,17460,-526,-2144,-528,-45,65,0,0,0,0,7090,1805,15989,137350,877,183,-314,-1745
419881,17464,-544,-2132,-528,-49,58,0,0,0,0,7086,1803,15990,137367,877,184,-314,-1745
419891,17456,-544,-2092,-521,-45,65,0,0,0,0,7076,1802,15992,137384,877,184,-314,-1745
419901,17440,-546,-2100,-524,-43,62,0,0,0,0,7068,1801,15994,137401,877,185,-315,-1745
419911,17418,-604,-2130,-524,-39,63,0,0,0,0,7064,1808,15992,137418,877,185,-314,-1745
419921,17464,-556,-2122,-523,-47,62,0,0,0,0,7059,1808,15995,137435,877,186,-314,-1745
419931,17468,-514,-2150,-527,-50,62,0,0,0,0,7057,1803,16001,137451,877,186,-314,-1746
419941,17478,-556,-2158,-525,-46,66,0,0,0,0,7057,1803,16001,137468,877,186,-314,-1746
419951,17508,-532,-2110,-519,-51,65,0,0,0,0,7050,1800,16006,137484,877,186,-315,-1746
419961,17458,-558,-2166,-519,-50,67,0,0,0,0,7051,1801,16006,137500,877,186,-315,-1746
419971,17488,-518,-2104,-519,-45,65,0,0,0,0,7044,1797,16012,137516,877,187,-315,-1746
419981,17524,-550,-2166,-519,-50,63,0,0,0,0,7044,1797,16014,137531,877,187,-315,-1746
419991,17466,-544,-2134,-522,-53,59,0,0,0,0,7042,1796,16016,137546,877,187,-315,-1746
420001,17472,-536,-2208,-524,-53,62,0,0,0,0,7048,1793,16021,137561,877,187,-315,-1747
420011,17486,-542,-2210,-518,-52,61,0,0,0,0,7054,1792,16025,137576,877,186,-316,-1747
420021,17448,-564,-2100,-520,-46,61,0,0,0,0,7047,1794,16023,137592,877,187,-315,-1747
420031,17496,-556,-2240,-519,-45,56,0,0,0,0,7056,1794,16026,137608,877,186,-315,-1747
420041,17434,-576,-2220,-523,-47,65,0,0,0,0,7063,1797,16027,137624,877,185,-315,-1747
420051,17490,-532,-2186,-524,-50,67,0,0,0,0,7066,1795,16028,137641,877,185,-315,-1747
420061,17458,-526,-2224,-519,-41,60,0,0,0,0,7073,1791,16031,137657,877,185,-316,-1747
420071,17430,-528,-2156,-528,-45,65,0,0,0,0,7072,1789,16031,137674,877,185,-316,-1747
420081,17438,-554,-2234,-525,-45,65,0,0,0,0,7080,1790,16036,137690,877,184,-316,-1748
420091,17484,-554,-2160,-518,-45,66,0,0,0,0,7079,1790,16036,137706,877,184,-316,-1747
420101,17432,-526,-2190,-522,-44,64,0,0,0,0,7081,1788,16037,137723,877,184,-316,-1747
