t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,roll_mdeg,pitch_mdeg,yaw_mdeg
75327,17440,-628,-2240,-521,-36,56,7164,2050,18
75337,17432,-628,-2248,-525,-33,60,7727,2037,-1
75347,17450,-652,-2216,-520,-43,55,7173,2133,18
75357,17450,-630,-2246,-522,-42,59,7671,1876,1
75367,17470,-642,-2198,-518,-37,58,7157,2093,19
75377,17500,-628,-2262,-518,-43,54,7693,1950,0
75387,17420,-656,-2180,-528,-39,57,7169,2127,18
75397,17502,-620,-2266,-528,-37,59,7651,1859,1
75407,17402,-566,-2248,-521,-46,63,7104,1837,19
75417,17458,-594,-2298,-522,-37,62,7633,1964,1
75427,17468,-618,-2280,-523,-42,59,7103,2083,20
75437,17468,-646,-2258,-528,-40,56,7642,2118,0
75447,17448,-656,-2258,-524,-43,59,7105,2152,19
75457,17424,-634,-2288,-526,-48,59,7628,2032,0
75467,17434,-638,-2252,-522,-52,50,7103,2122,19
75477,17466,-640,-2206,-517,-41,54,7592,1913,2
75487,17480,-620,-2280,-525,-42,57,7143,2194,18
75497,17440,-620,-2280,-524,-48,55,7601,1931,1
75507,17468,-618,-2220,-527,-47,51,7089,2043,19
75517,17466,-630,-2198,-517,-44,56,7609,2081,1
75527,17490,-596,-2274,-524,-38,57,7189,1776,15
75537,17444,-572,-2274,-523,-43,55,7674,1951,0
75547,17506,-650,-2246,-516,-44,57,7202,2156,16
75557,17448,-616,-2312,-525,-50,58,7672,1950,0
75567,17420,-632,-2180,-523,-43,56,7173,2053,16
75577,17416,-646,-2236,-523,-45,60,7647,2231,0
75587,17468,-642,-2224,-522,-40,60,7174,2058,16
75597,17392,-610,-2232,-525,-43,59,7628,1841,0
75607,17484,-638,-2190,-523,-37,56,7175,2056,16
75617,17470,-618,-2232,-519,-42,59,7631,1854,0
75627,17428,-624,-2270,-519,-45,62,7252,2177,14
75637,17442,-618,-2330,-520,-40,58,7700,1968,-1
75647,17502,-568,-2320,-520,-40,62,7325,1652,10
75657,17478,-614,-2194,-520,-46,63,7107,2092,17
75667,17426,-644,-2240,-520,-46,62,7592,2107,0
75677,17424,-646,-2230,-522,-48,55,7110,2105,17
75687,17444,-554,-2254,-526,-44,56,7420,1734,6
75697,17458,-612,-2260,-523,-46,56,7338,2209,9
75707,17454,-688,-2300,-519,-40,53,7806,2289,-8
75717,17440,-610,-2206,-520,-43,58,7384,2076,7
75727,17466,-590,-2314,-521,-44,60,7723,1745,-3
75737,17450,-620,-2258,-524,-45,60,7352,2034,8
75747,17458,-634,-2234,-527,-43,55,6929,2234,23
75757,17466,-578,-2190,-526,-43,55,7173,1836,14
75767,17450,-640,-2310,-526,-43,56,7557,2093,1
75777,17426,-648,-2236,-528,-43,58,7099,2129,17
75787,17444,-630,-2206,-530,-39,56,7472,1862,4
75797,17460,-602,-2256,-530,-48,58,7128,2162,15
75807,17502,-624,-2284,-520,-49,56,7542,1976,0
75817,17440,-608,-2256,-517,-41,52,7092,1985,16
75827,17466,-606,-2282,-521,-45,55,7539,1966,1
75837,17464,-584,-2222,-519,-43,53,7106,1866,16
75847,17472,-646,-2270,-518,-41,51,7454,2140,4
75857,17472,-636,-2276,-519,-36,50,7275,1735,10
75867,17432,-620,-2220,-520,-37,52,7247,2175,12
75877,17430,-618,-2260,-525,-39,54,7534,1844,1
75887,17466,-632,-2290,-522,-36,62,7405,2261,6
75897,17454,-630,-2282,-522,-38,58,7492,1837,3
75907,17444,-612,-2228,-521,-41,56,7145,2090,15
75917,17490,-620,-2290,-520,-42,57,7558,1988,0
75927,17484,-622,-2286,-520,-41,60,7151,2106,15
