t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,mad_roll_mdeg,mad_pitch_mdeg,mad_yaw_mdeg,mad_us,ekf_roll_mdeg,ekf_pitch_mdeg,ekf_yaw_mdeg,traceP_1e6,ekf_us,bx_uradps,by_uradps,bz_uradps
57804,614,-632,13812,-673,-213,279,0,0,0,0,-49546,-86787,58,7000078,99,0,0,0
57814,524,-768,13854,-674,-170,232,0,0,0,0,-49544,-86772,71,7000307,99,0,0,0
57824,488,-768,13850,-595,-137,218,0,0,0,0,-49505,-86764,120,7000685,99,0,0,0
57834,524,-740,13900,-525,-73,268,0,0,0,0,-54682,-86269,-5032,4009863,166,3,9,101
57844,522,-618,13868,-513,-46,305,0,0,0,0,-54677,-86270,-5010,4010142,99,3,9,101
57854,596,-668,13858,-558,-13,254,0,0,0,0,-54730,-86269,-5051,4010573,99,3,9,101
57864,526,-784,13960,-610,21,97,0,0,0,0,-55535,-86196,-5849,3936541,166,112,132,3159
57874,500,-736,13942,-566,11,1,0,0,0,0,-55680,-86249,-5947,3878069,166,138,-1826,736
57884,622,-842,13880,-496,-6,31,0,0,0,0,-55698,-86253,-5970,3878698,99,138,-1826,736
57894,616,-770,13900,-443,24,15,0,0,0,0,-54342,-86169,-4752,3757034,166,-503,11344,3222
57904,648,-732,13978,-408,59,52,0,0,0,0,-52709,-86134,-3255,3633315,166,-1409,25003,-283
57914,490,-610,13992,-395,89,50,0,0,0,0,-52285,-86294,-3022,3507814,166,-1626,13514,-19325
57924,490,-696,13992,-451,108,24,0,0,0,0,-52720,-86357,-3530,3378013,166,-1286,4640,-21627
57935,394,-674,14094,-482,100,-81,0,0,0,0,-54046,-86479,-5015,3240349,166,-434,-17150,-26940
57945,322,-568,14250,-420,47,-54,0,0,0,0,-55200,-86711,-6212,3093152,166,270,-46643,-48247
57955,392,-452,14194,-374,2,50,0,0,0,0,-54164,-86939,-4731,2961954,166,-59,-56149,-78588
57965,482,-380,14146,-437,-35,104,0,0,0,0,-51326,-87117,-1140,2848126,166,-902,-49739,-108666
57975,474,-430,14112,-530,-66,31,0,0,0,0,-49337,-87231,1171,2730339,166,-1346,-45113,-122740
57985,480,-412,14166,-585,-141,-50,0,0,0,0,-47167,-87327,3564,2609323,166,-1735,-40411,-134286
57996,600,-428,14020,-565,-186,22,0,0,0,0,-44063,-87327,7206,2503499,166,-2057,-22898,-138016
58006,700,-398,14014,-602,-186,97,0,0,0,0,-40115,-87274,11704,2385164,166,-2497,1419,-142289
58016,614,-460,13960,-638,-195,247,0,0,0,0,-38366,-87235,13748,2259154,166,-2352,11431,-137485
58027,636,-602,13918,-745,-173,177,0,0,0,0,-38378,-87123,14207,2143463,166,-1511,21041,-119264
58037,544,-728,13878,-719,-140,112,0,0,0,0,-37235,-87142,15353,2144622,99,-1511,21041,-119264
58047,438,-694,13978,-661,-120,189,0,0,0,0,-40676,-87100,12479,2014359,166,181,9444,-91576
58057,544,-758,13850,-658,-110,234,0,0,0,0,-39892,-87120,13276,2015508,99,181,9444,-91576
58067,604,-846,13892,-647,-57,140,0,0,0,0,-43133,-86893,10166,1887986,166,1602,15962,-55065
58078,420,-812,13942,-584,-36,98,0,0,0,0,-46920,-86820,6967,1783690,166,3339,5165,-30228
58088,454,-786,14014,-447,-36,99,0,0,0,0,-49318,-86755,4821,1681685,166,4344,-519,-13097
58097,538,-766,13994,-402,-10,15,0,0,0,0,-50233,-86673,3793,1600284,166,4580,1183,-1619
58107,456,-584,14064,-374,2,15,0,0,0,0,-50415,-86733,3799,1538755,166,4836,-3105,-4196
58117,648,-518,13982,-403,-4,95,0,0,0,0,-48560,-86733,5382,1490060,166,4102,4662,-9588
58127,656,-630,13894,-517,49,-69,0,0,0,0,-48525,-86740,5408,1491052,99,4102,4662,-9588
58136,656,-630,13894,-517,49,-69,0,0,0,0,-48489,-86748,5434,1492091,99,4102,4662,-9588
58146,544,-674,14022,-599,22,-46,0,0,0,0,-48968,-86702,4924,1451889,166,4239,5675,-5059
58156,530,-824,13974,-546,13,-32,0,0,0,0,-50443,-86599,3436,1420836,166,4720,5883,6096
58166,472,-798,14058,-481,9,-5,0,0,0,0,-51911,-86550,2045,1393968,166,5305,3070,13626
58175,470,-692,14172,-470,19,81,0,0,0,0,-52548,-86561,1491,1369330,166,5616,459,14530
58185,426,-612,14160,-461,31,22,0,0,0,0,-52954,-86622,1201,1348647,166,5944,-3342,11842
58195,446,-654,14162,-476,3,-71,0,0,0,0,-53375,-86647,823,1330390,166,6147,-5530,11326
58204,308,-584,14106,-486,-27,-185,0,0,0,0,-54306,-86732,9,1315299,166,6722,-11928,8591
58214,400,-488,14024,-454,-70,-143,0,0,0,0,-54012,-86812,390,1302185,166,7018,-13997,3547
58224,572,-378,14020,-487,-51,-157,0,0,0,0,-52147,-86876,2348,1290147,166,7125,-10634,-3968
58235,620,-344,13984,-547,-75,-29,0,0,0,0,-50012,-86923,4581,1279251,166,7223,-6474,-11108
58245,770,-430,13844,-609,-52,-46,0,0,0,0,-50036,-86925,4551,1280641,99,7223,-6474,-11108
58255,698,-442,13912,-603,-20,-91,0,0,0,0,-48126,-86910,6572,1270494,166,7448,-688,-14614
58265,666,-394,13912,-569,-26,26,0,0,0,0,-46318,-86918,8459,1260896,166,7528,3410,-18742
58274,758,-446,14008,-505,-15,114,0,0,0,0,-44332,-86886,10597,1251272,166,7941,9367,-21234
58284,590,-426,14080,-536,-12,199,0,0,0,0,-43328,-86910,11601,1241545,166,7706,10338,-23839
58295,494,-436,14220,-564,-52,296,0,0,0,0,-42947,-86960,11901,1232278,166,7108,8620,-25988
58305,452,-566,14050,-653,-79,245,0,0,0,0,-43561,-86970,11237,1225853,166,6879,6560,-24695
58315,444,-688,14060,-727,-69,153,0,0,0,0,-44854,-86945,9906,1220554,166,6892,4598,-21090
58325,310,-762,14130,-766,-117,182,0,0,0,0,-47101,-86933,7538,1215938,166,6620,-6,-16383
58335,380,-920,14036,-723,-140,151,0,0,0,0,-49292,-86859,5247,1212813,166,6488,-2455,-9578
58345,326,-926,14022,-635,-159,175,0,0,0,0,-51392,-86802,3054,1210590,166,6423,-5555,-3563
58355,460,-882,13978,-561,-173,183,0,0,0,0,-52395,-86734,1977,1209082,166,6090,-6043,904
58365,502,-866,13900,-527,-149,40,0,0,0,0,-53014,-86670,1278,1208139,166,5666,-5810,4508
58375,446,-824,13922,-496,-147,47,0,0,0,0,-53665,-86632,593,1207512,166,5632,-6439,7124
58384,656,-752,13864,-485,-133,6,0,0,0,0,-53618,-86630,638,1209394,99,5632,-6439,7124
58394,656,-702,13838,-506,-90,-61,0,0,0,0,-53625,-86628,622,1211330,99,5632,-6439,7124
58404,648,-576,13890,-448,-45,-1,0,0,0,0,-53640,-86632,604,1213346,99,5632,-6439,7124
58414,648,-546,13842,-444,-16,38,0,0,0,0,-53685,-86637,558,1215413,99,5632,-6439,7124
58424,706,-500,13882,-477,42,13,0,0,0,0,-53814,-86643,426,1217530,99,5632,-6439,7124
58434,542,-454,14052,-524,60,51,0,0,0,0,-52784,-86703,1497,1216666,166,5612,-5397,3348
58444,582,-534,14144,-526,61,57,0,0,0,0,-51920,-86723,2376,1215995,166,5282,-3794,1328
58454,506,-548,14172,-517,44,18,0,0,0,0,-51596,-86754,2709,1215637,166,5296,-3666,-183
58464,354,-462,14228,-501,-12,99,0,0,0,0,-51694,-86846,2614,1215495,166,5809,-6000,-2915
58474,422,-416,14238,-484,-81,167,0,0,0,0,-51136,-86923,3208,1215604,166,6245,-6957,-5936
58484,584,-516,14062,-519,-97,107,0,0,0,0,-50290,-86921,4125,1216091,166,6465,-5512,-6877
58494,478,-508,14122,-605,-156,70,0,0,0,0,-49968,-86937,4457,1216560,166,6550,-5619,-7858
58504,570,-626,14050,-595,-176,88,0,0,0,0,-49686,-86904,4778,1217265,166,6635,-4611,-7274
58514,570,-608,14010,-580,-192,101,0,0,0,0,-49345,-86878,5157,1218123,166,6720,-3746,-6947
58524,714,-578,13976,-596,-189,260,0,0,0,0,-48418,-86832,6189,1219116,166,6947,-1480,-6974
58535,648,-666,13946,-688,-143,205,0,0,0,0,-48223,-86780,6459,1220052,166,7207,-132,-6137
58544,444,-772,14052,-730,-143,161,0,0,0,0,-49156,-86744,5537,1220802,166,7586,-964,-4328
58554,434,-830,13984,-695,-174,172,0,0,0,0,-50125,-86700,4583,1221815,166,8018,-1770,-2218
58565,484,-868,13968,-627,-148,79,0,0,0,0,-50904,-86648,3816,1223005,166,8343,-2053,13
58574,478,-754,13862,-573,-129,98,0,0,0,0,-50867,-86642,3860,1225766,99,8343,-2053,13
58584,460,-642,13886,-494,-90,64,0,0,0,0,-50800,-86643,3929,1228637,99,8343,-2053,13
58594,636,-618,13842,-505,-58,32,0,0,0,0,-50772,-86644,3958,1231558,99,8343,-2053,13
58604,646,-642,13936,-528,-10,-14,0,0,0,0,-50361,-86622,4362,1232906,166,7817,-869,109
58614,588,-598,14000,-501,-13,60,0,0,0,0,-50030,-86622,4689,1234332,166,7484,-319,-229
58624,704,-642,13908,-525,-20,133,0,0,0,0,-49493,-86592,5237,1235995,170,6884,1151,-107
58634,730,-622,13912,-546,22,66,0,0,0,0,-48910,-86563,5821,1237732,166,6168,2695,-158
58644,656,-668,14016,-560,30,68,0,0,0,0,-48732,-86540,6018,1239451,166,5966,3555,119
58654,488,-712,14006,-531,45,36,0,0,0,0,-49215,-86540,5567,1241222,166,6652,3035,699
58664,490,-768,14040,-513,43,-17,0,0,0,0,-49802,-86529,5026,1242995,166,7560,2582,1654
58674,442,-808,14076,-478,29,-65,0,0,0,0,-50576,-86521,4307,1244678,166,8827,1808,2827
58684,352,-634,14134,-415,11,-63,0,0,0,0,-51086,-86565,3820,1246181,166,9964,375,2583
58694,454,-586,14186,-409,-19,23,0,0,0,0,-51087,-86600,3825,1247676,166,10315,-227,2008
58704,410,-560,14256,-490,-41,0,0,0,0,0,-51209,-86642,3707,1249244,166,10862,-1142,1241
58714,464,-590,14164,-565,-109,74,0,0,0,0,-51219,-86656,3706,1251065,166,11099,-1538,827
58724,568,-774,14066,-568,-148,0,0,0,0,0,-51315,-86619,3598,1253097,166,10859,-1214,1686
58734,556,-722,13936,-537,-141,1,0,0,0,0,-51296,-86596,3611,1255394,166,10698,-990,2147
58744,486,-610,13998,-503,-152,98,0,0,0,0,-51198,-86603,3720,1257756,166,10852,-1198,1912
58754,686,-598,13860,-473,-129,116,0,0,0,0,-51086,-86602,3840,1261392,99,10852,-1198,1912
58764,640,-526,13934,-470,-103,74,0,0,0,0,-50418,-86605,4513,1263928,166,10342,-549,1270
58774,686,-402,14012,-511,-111,106,0,0,0,0,-49371,-86620,5563,1266510,166,9559,303,-70
58784,720,-496,13848,-517,-86,94,0,0,0,0,-49313,-86618,5627,1270285,99,9559,303,-70
58794,744,-518,13796,-549,-35,150,0,0,0,0,-49336,-86617,5614,1274110,99,9559,303,-70
58804,666,-606,13884,-588,8,175,0,0,0,0,-49436,-86616,5526,1277984,99,9559,303,-70
58814,502,-706,14040,-640,50,147,0,0,0,0,-49917,-86607,5057,1280748,166,9801,95,367
58824,456,-754,14128,-629,29,132,0,0,0,0,-50619,-86596,4360,1283546,166,10239,-392,1041
58834,470,-796,14086,-582,-3,105,0,0,0,0,-51251,-86577,3735,1286500,166,10635,-727,1887
58844,452,-706,14068,-539,-7,78,0,0,0,0,-51638,-86580,3353,1289552,166,11003,-1122,2151
58854,330,-698,14200,-536,-42,99,0,0,0,0,-52354,-86601,2648,1292602,166,12017,-2224,2309
58864,518,-702,14002,-540,-73,101,0,0,0,0,-52426,-86591,2575,1295838,166,11899,-2180,2529
58874,552,-820,13958,-557,-82,-53,0,0,0,0,-52631,-86557,2332,1299206,166,11440,-1987,3309
58884,592,-714,13872,-495,-80,-51,0,0,0,0,-52589,-86556,2370,1303447,99,11440,-1987,3309
58894,636,-750,13838,-412,-47,-28,0,0,0,0,-52517,-86562,2439,1307738,99,11440,-1987,3309
58904,644,-666,13940,-391,-6,24,0,0,0,0,-52117,-86554,2816,1311345,166,10583,-1374,3354
58914,714,-520,13912,-410,56,107,0,0,0,0,-51346,-86562,3565,1315120,166,9343,-502,2756
58924,490,-550,14012,-498,85,22,0,0,0,0,-51321,-86590,3582,1319034,166,9323,-662,2254
58934,420,-552,14182,-526,83,64,0,0,0,0,-51517,-86629,3378,1323009,166,9620,-1187,1702
58944,418,-600,14272,-556,34,19,0,0,0,0,-51804,-86656,3078,1327078,166,9942,-1712,1390
58954,344,-542,14244,-562,-10,32,0,0,0,0,-52123,-86698,2741,1331260,166,10457,-2528,823
58964,458,-548,14154,-576,-80,46,0,0,0,0,-52051,-86715,2829,1335541,166,10749,-2712,376
58974,380,-598,14202,-576,-139,4,0,0,0,0,-52252,-86731,2596,1339835,166,10909,-3263,167
58984,458,-504,14088,-551,-213,86,0,0,0,0,-51941,-86747,2948,1344232,166,11407,-3392,-389
58994,652,-590,13896,-577,-246,108,0,0,0,0,-51790,-86736,3108,1349003,99,11407,-3392,-389
59004,728,-600,13798,-563,-213,41,0,0,0,0,-51658,-86727,3243,1353824,99,11407,-3392,-389
59014,768,-560,13762,-542,-177,145,0,0,0,0,-51554,-86722,3358,1358694,99,11407,-3392,-389
59024,778,-606,13782,-555,-102,123,0,0,0,0,-51538,-86719,3383,1363612,99,11407,-3392,-389
59034,672,-590,13848,-560,-42,179,0,0,0,0,-51593,-86718,3342,1368580,99,11407,-3392,-389
59044,598,-610,13964,-576,-19,225,0,0,0,0,-51369,-86708,3639,1373186,166,11606,-2961,-474
59054,592,-660,14014,-555,-3,153,0,0,0,0,-51272,-86694,3785,1377738,166,11641,-2584,-354
59064,488,-692,14062,-549,-13,140,0,0,0,0,-51519,-86688,3525,1382253,166,11501,-2670,-110
59074,466,-678,14142,-539,-12,177,0,0,0,0,-51788,-86690,3243,1386900,166,11399,-2852,49
59084,414,-734,14188,-591,-30,102,0,0,0,0,-52337,-86685,2639,1391689,166,11163,-3252,426
59094,366,-790,14164,-568,-77,82,0,0,0,0,-53033,-86676,1859,1396661,166,10803,-3812,997
59104,414,-746,14184,-532,-123,37,0,0,0,0,-53391,-86669,1448,1401661,166,10582,-4147,1348
59114,374,-584,14146,-511,-187,75,0,0,0,0,-53427,-86690,1454,1406605,166,11439,-4549,1038
59124,698,-666,13918,-561,-191,134,0,0,0,0,-52876,-86658,2027,1411674,166,10829,-3886,1116
59134,704,-718,13840,-665,-157,-56,0,0,0,0,-52888,-86646,2011,1417163,99,10829,-3886,1116
59144,654,-706,13842,-618,-154,41,0,0,0,0,-52873,-86636,2028,1422618,99,10829,-3886,1116
59154,708,-730,13754,-530,-94,1,0,0,0,0,-52848,-86635,2052,1428162,99,10829,-3886,1116
59164,698,-638,13824,-477,-43,109,0,0,0,0,-52843,-86639,2066,1433757,99,10829,-3886,1116
59174,654,-558,13894,-468,0,142,0,0,0,0,-52878,-86645,2041,1439400,99,10829,-3886,1116
59184,500,-614,14014,-512,40,47,0,0,0,0,-52882,-86657,2058,1444825,166,10987,-3856,966
59194,432,-618,14000,-560,45,38,0,0,0,0,-53115,-86672,1833,1450335,166,11283,-4048,837
59204,440,-660,14092,-593,43,-27,0,0,0,0,-53424,-86678,1510,1455871,166,11381,-4220,846
59214,452,-614,14122,-570,0,115,0,0,0,0,-53544,-86690,1416,1461434,166,11704,-4328,679
59224,540,-668,14188,-534,-25,141,0,0,0,0,-53474,-86684,1505,1467037,166,11557,-4145,711
59234,478,-694,14180,-522,-55,135,0,0,0,0,-53591,-86681,1380,1472736,166,11411,-4187,832
59244,542,-706,14098,-508,-101,92,0,0,0,0,-53496,-86668,1467,1478499,166,11057,-4025,996
59254,578,-674,13974,-490,-119,-24,0,0,0,0,-53234,-86656,1728,1484348,166,10742,-3772,1065
59264,638,-626,14000,-490,-137,34,0,0,0,0,-52749,-86644,2233,1490321,166,10412,-3367,994
59274,584,-558,14074,-513,-122,83,0,0,0,0,-52314,-86646,2693,1496288,166,10325,-3129,712
59284,604,-592,13964,-552,-106,161,0,0,0,0,-51985,-86640,3054,1502372,166,10196,-2860,567
59294,522,-654,14026,-605,-83,86,0,0,0,0,-52002,-86632,3047,1508486,166,10184,-2821,578
59304,460,-550,14108,-583,-91,31,0,0,0,0,-51945,-86647,3085,1514644,166,10160,-2967,290
59314,578,-450,14032,-513,-120,102,0,0,0,0,-51396,-86662,3658,1520871,166,10117,-2788,-215
59324,698,-520,14004,-524,-116,97,0,0,0,0,-50753,-86656,4388,1527143,166,10346,-2305,-520
59334,700,-546,13956,-570,-111,124,0,0,0,0,-50234,-86644,4996,1533168,166,10613,-1852,-736
59344,692,-476,13982,-627,-114,105,0,0,0,0,-49675,-86638,5601,1538811,166,10500,-1460,-1104
59355,720,-598,13944,-668,-124,151,0,0,0,0,-49319,-86612,6090,1544205,166,11182,-992,-1198
59365,710,-712,13896,-670,-105,197,0,0,0,0,-49206,-86576,6401,1548420,166,12529,-544,-1061
59375,602,-832,13944,-670,-83,184,0,0,0,0,-49492,-86540,6328,1549947,166,14371,-328,-687
59385,586,-882,13862,-620,-72,167,0,0,0,0,-49542,-86534,6292,1556504,99,14371,-328,-687
59394,582,-916,13872,-581,-47,55,0,0,0,0,-49575,-86531,6265,1563004,99,14371,-328,-687
59404,460,-858,13928,-484,-22,40,0,0,0,0,-50053,-86519,5939,1560607,166,16097,-441,-261
59414,444,-834,13888,-404,2,56,0,0,0,0,-49995,-86529,6004,1567324,99,16097,-441,-261
59424,494,-742,14018,-407,-27,78,0,0,0,0,-50172,-86531,5900,1560962,166,16898,-525,-69
