t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,mad_roll_mdeg,mad_pitch_mdeg,mad_yaw_mdeg,mad_us,ekf_roll_mdeg,ekf_pitch_mdeg,ekf_yaw_mdeg,traceP_1e6,ekf_us,bx_uradps,by_uradps,bz_uradps
206284,342,692,14248,-370,-122,233,0,0,0,0,6498,1438,45210,17890,166,18996,7952,6121
206294,276,490,14010,-550,-368,182,0,0,0,0,5273,1368,45205,13473,166,19326,8078,6140
206304,192,516,14166,-807,-403,68,0,0,0,0,4511,1212,45383,11402,166,19527,8132,6119
206314,16,736,13932,-381,-501,149,0,0,0,0,4268,990,45740,10406,166,19598,8115,6062
206324,20,896,13964,-484,-207,217,0,0,0,0,4176,835,45992,9730,166,19624,8096,6021
206334,176,628,14032,-809,-103,169,0,0,0,0,3934,829,45977,9239,166,19682,8117,6027
206344,234,218,13954,-735,-297,89,0,0,0,0,3571,875,45869,8895,166,19772,8159,6050
206354,380,262,13930,-749,-243,-15,0,0,0,0,3296,979,45679,8627,166,19838,8201,6084
206364,614,350,13972,-747,10,-53,0,0,0,0,3095,1151,45364,8402,166,19882,8249,6138
206374,684,530,14006,-623,82,-20,0,0,0,0,2994,1316,45071,8215,166,19901,8286,6187
206384,586,432,14028,-481,-102,8,0,0,0,0,2884,1426,44890,8061,166,19927,8314,6218
206394,608,390,13880,-534,-220,-46,0,0,0,0,2871,1444,44876,8067,99,19927,8314,6218
206404,640,402,13772,-626,-137,-70,0,0,0,0,2851,1455,44860,8073,99,19927,8314,6218
206414,556,466,13720,-390,-41,62,0,0,0,0,2848,1459,44854,8079,99,19927,8314,6218
206424,434,528,13778,-213,92,184,0,0,0,0,2859,1454,44858,8084,99,19927,8314,6218
206434,422,626,13918,-232,171,184,0,0,0,0,2847,1466,44823,7962,170,19933,8320,6225
206444,404,542,13962,-245,135,183,0,0,0,0,2812,1473,44801,7856,166,19944,8328,6230
206454,440,484,14100,-353,127,160,0,0,0,0,2752,1491,44759,7755,166,19960,8339,6238
206464,378,468,14102,-288,95,154,0,0,0,0,2700,1489,44752,7669,166,19975,8345,6240
206474,354,598,14132,-190,62,216,0,0,0,0,2694,1482,44764,7592,166,19980,8347,6239
206484,418,550,14028,-235,84,258,0,0,0,0,2677,1492,44750,7529,166,19987,8352,6243
206494,384,506,14166,-241,46,230,0,0,0,0,2648,1494,44749,7468,166,19997,8357,6245
206504,406,654,14128,-399,16,141,0,0,0,0,2645,1503,44736,7416,166,19997,8358,6247
206514,510,716,14040,-596,15,97,0,0,0,0,2641,1534,44686,7372,166,19993,8362,6256
206524,422,564,14002,-663,-40,78,0,0,0,0,2603,1548,44667,7335,166,19997,8365,6259
206534,446,478,13894,-696,-112,63,0,0,0,0,2577,1557,44661,7341,99,19997,8365,6259
206544,416,306,13922,-529,-198,82,0,0,0,0,2509,1580,44645,7309,166,20012,8372,6261
206554,430,288,13690,-328,-174,116,0,0,0,0,2511,1595,44643,7315,99,20012,8372,6261
206564,486,434,13746,-341,37,126,0,0,0,0,2512,1593,44643,7320,99,20012,8372,6261
206574,356,436,13812,-229,85,148,0,0,0,0,2522,1588,44644,7326,99,20012,8372,6261
206584,250,430,14018,-164,77,171,0,0,0,0,2502,1558,44687,7294,166,20021,8370,6253
206594,284,624,14170,-176,86,147,0,0,0,0,2516,1532,44719,7260,166,20021,8366,6248
206604,364,796,14230,-254,109,131,0,0,0,0,2556,1522,44726,7228,166,20012,8363,6246
206614,328,800,14288,-422,84,141,0,0,0,0,2582,1507,44743,7199,166,20004,8358,6243
206624,348,610,14234,-569,-27,73,0,0,0,0,2561,1505,44746,7174,166,20005,8357,6242
206634,310,642,14154,-668,-134,-29,0,0,0,0,2540,1505,44749,7153,166,20005,8355,6239
206644,422,820,14042,-565,-219,-4,0,0,0,0,2554,1530,44729,7135,166,19997,8354,6241
206654,474,778,13940,-451,-164,95,0,0,0,0,2568,1557,44708,7120,166,19991,8355,6245
206664,444,612,13948,-594,-75,93,0,0,0,0,2549,1573,44692,7107,166,19991,8357,6247
206674,468,442,13974,-717,-146,8,0,0,0,0,2498,1596,44666,7095,166,19997,8361,6250
206684,528,378,13828,-696,-220,-31,0,0,0,0,2473,1614,44653,7101,99,19997,8361,6250
206694,570,372,13724,-655,-113,-25,0,0,0,0,2450,1624,44641,7106,99,19997,8361,6250
206704,590,472,13822,-541,39,46,0,0,0,0,2436,1622,44634,7112,99,19997,8361,6250
206714,440,500,13918,-409,83,95,0,0,0,0,2420,1623,44623,7101,166,20000,8363,6252
206724,380,604,13960,-402,64,98,0,0,0,0,2419,1617,44623,7089,166,20000,8363,6251
206734,420,706,14056,-374,26,72,0,0,0,0,2432,1620,44615,7078,166,19995,8362,6252
206744,420,840,14142,-220,-24,136,0,0,0,0,2475,1626,44613,7067,166,19986,8360,6253
206754,408,876,14172,-240,-17,219,0,0,0,0,2520,1629,44620,7056,166,19977,8358,6253
206764,350,652,14242,-414,-76,177,0,0,0,0,2519,1628,44634,7046,166,19976,8356,6251
206774,276,426,14076,-600,-178,85,0,0,0,0,2477,1627,44647,7039,166,19982,8353,6247
206784,334,510,14014,-781,-185,-58,0,0,0,0,2435,1634,44641,7032,166,19985,8352,6245
206794,472,728,13842,-881,-89,-112,0,0,0,0,2396,1641,44622,7038,99,19985,8352,6245
206804,490,584,13832,-626,-108,32,0,0,0,0,2375,1651,44614,7044,99,19985,8352,6245
206814,316,400,13880,-377,-158,198,0,0,0,0,2373,1664,44619,7049,99,19985,8352,6245
206824,328,364,13980,-505,-51,137,0,0,0,0,2337,1660,44628,7043,166,19992,8352,6242
206834,422,546,13938,-531,-13,44,0,0,0,0,2322,1665,44619,7037,166,19993,8352,6243
206844,404,668,13996,-290,-83,124,0,0,0,0,2338,1672,44619,7032,166,19990,8351,6243
206854,470,728,14044,-264,-42,178,0,0,0,0,2363,1683,44616,7026,166,19985,8352,6245
206864,456,730,14074,-383,-9,138,0,0,0,0,2378,1690,44613,7021,166,19980,8352,6246
206874,436,638,14012,-433,-84,123,0,0,0,0,2378,1700,44610,7017,166,19978,8352,6247
206884,478,506,13936,-541,-103,89,0,0,0,0,2357,1716,44599,7014,166,19980,8355,6248
206894,352,466,13982,-572,-51,102,0,0,0,0,2329,1714,44603,7011,166,19983,8353,6246
206904,428,540,14042,-536,14,142,0,0,0,0,2313,1715,44603,7007,166,19984,8354,6246
206914,394,564,14056,-442,18,190,0,0,0,0,2306,1712,44610,7004,166,19984,8353,6246
206924,400,544,14136,-489,5,153,0,0,0,0,2293,1711,44614,7001,166,19985,8352,6245
206934,434,504,14060,-680,-19,46,0,0,0,0,2263,1715,44606,6998,166,19986,8353,6245
206944,494,544,13936,-690,-86,-2,0,0,0,0,2237,1730,44588,6996,166,19986,8355,6247
206954,510,644,13948,-621,-83,7,0,0,0,0,2227,1745,44571,6995,166,19983,8357,6250
206964,434,626,13882,-585,-39,25,0,0,0,0,2210,1749,44563,7001,99,19983,8357,6250
206974,390,524,13936,-597,-43,53,0,0,0,0,2191,1750,44560,6999,166,19983,8356,6249
206984,358,520,14018,-517,-109,68,0,0,0,0,2177,1753,44561,6998,166,19984,8354,6247
206994,368,540,14082,-552,-70,36,0,0,0,0,2163,1752,44559,6996,166,19984,8352,6245
207004,486,648,13918,-582,-5,33,0,0,0,0,2158,1759,44548,6995,166,19981,8353,6246
207014,408,582,14100,-594,21,49,0,0,0,0,2145,1756,44544,6994,166,19979,8352,6246
207024,326,534,14130,-672,-20,-13,0,0,0,0,2122,1748,44542,6992,166,19979,8349,6243
207034,388,632,13996,-729,-56,-83,0,0,0,0,2105,1749,44530,6992,166,19976,8347,6242
207044,436,676,14022,-738,-87,-86,0,0,0,0,2092,1757,44514,6991,166,19972,8347,6242
207054,446,642,13944,-603,-136,-3,0,0,0,0,2085,1770,44503,6991,166,19968,8347,6243
207064,446,616,13976,-503,-158,77,0,0,0,0,2084,1784,44499,6992,166,19965,8347,6243
207074,528,660,13978,-477,-166,89,0,0,0,0,2088,1806,44490,6992,166,19961,8349,6245
207084,554,622,13944,-512,-171,97,0,0,0,0,2086,1830,44481,6992,166,19958,8352,6248
207094,498,572,13918,-525,-189,106,0,0,0,0,2079,1850,44476,6993,166,19957,8353,6249
207104,402,482,14038,-534,-184,115,0,0,0,0,2063,1860,44477,6993,166,19957,8351,6248
207114,420,562,13954,-471,-184,158,0,0,0,0,2060,1873,44481,6994,166,19956,8350,6247
207124,422,542,13958,-440,-123,183,0,0,0,0,2056,1880,44487,6995,166,19955,8349,6246
207134,346,584,14054,-484,-102,175,0,0,0,0,2054,1879,44497,6995,166,19953,8345,6244
207144,312,470,14078,-554,-117,137,0,0,0,0,2036,1876,44505,6996,166,19955,8340,6240
207154,398,516,14050,-667,-106,43,0,0,0,0,2014,1880,44502,6996,166,19954,8338,6239
207164,454,572,13930,-772,-50,-18,0,0,0,0,1990,1884,44491,6998,166,19952,8338,6239
207174,412,626,13940,-721,-44,-3,0,0,0,0,1974,1884,44484,6999,166,19949,8337,6238
207184,406,566,13954,-550,-88,102,0,0,0,0,1967,1888,44485,7000,170,19947,8335,6237
207194,428,460,13970,-514,-51,123,0,0,0,0,1953,1891,44486,7001,166,19947,8334,6236
207204,456,476,13954,-551,-17,71,0,0,0,0,1939,1893,44481,7003,166,19947,8334,6236
207214,474,458,13972,-528,-58,46,0,0,0,0,1925,1899,44474,7004,166,19948,8334,6236
207224,460,556,14054,-496,-81,51,0,0,0,0,1922,1906,44469,7005,166,19945,8334,6236
207234,420,614,13970,-392,-75,117,0,0,0,0,1930,1909,44470,7007,166,19942,8332,6235
207244,430,540,13982,-378,-50,170,0,0,0,0,1934,1911,44475,7009,166,19941,8331,6235
207254,322,410,14030,-386,-73,149,0,0,0,0,1927,1906,44481,7010,166,19943,8327,6232
207264,306,406,13998,-340,-114,95,0,0,0,0,1923,1903,44483,7012,166,19945,8322,6228
207274,424,556,13972,-384,-59,39,0,0,0,0,1928,1906,44478,7013,166,19943,8320,6228
207284,524,692,13966,-423,24,0,0,0,0,0,1940,1909,44469,7015,166,19937,8322,6229
207294,478,790,14044,-425,28,-20,0,0,0,0,1961,1909,44461,7017,166,19930,8322,6229
207304,658,806,14004,-188,-44,-272,0,0,0,0,2001,1928,44428,7018,166,19922,8328,6233
207314,496,600,14096,-152,-286,-303,0,0,0,0,2026,1951,44394,7020,166,19919,8328,6234
207324,592,740,14042,-763,-212,-95,0,0,0,0,2016,1977,44376,7022,166,19913,8332,6236
207334,440,534,13944,-545,-162,0,0,0,0,0,2006,1987,44367,7024,166,19912,8330,6235
207344,416,566,14058,-529,-37,158,0,0,0,0,1999,1986,44371,7026,166,19911,8328,6234
207354,428,628,13976,-589,-112,63,0,0,0,0,1992,1991,44368,7028,166,19908,8326,6233
207364,488,690,13926,-721,-167,13,0,0,0,0,1980,2005,44361,7030,166,19903,8326,6233
207374,462,580,13964,-740,-178,41,0,0,0,0,1959,2017,44355,7032,166,19901,8325,6233
207384,414,524,14052,-630,-110,140,0,0,0,0,1942,2020,44357,7034,166,19900,8323,6232
207394,402,528,14070,-633,-38,171,0,0,0,0,1925,2017,44362,7036,166,19899,8320,6230
207404,414,542,14048,-756,-19,61,0,0,0,0,1901,2013,44359,7038,166,19897,8317,6229
207414,608,572,13840,-958,-48,-70,0,0,0,0,1856,2018,44343,7044,99,19897,8317,6229
207424,486,568,14084,-845,-122,7,0,0,0,0,1828,2027,44335,7045,166,19895,8317,6228
207434,438,456,13904,-515,-195,133,0,0,0,0,1816,2043,44335,7051,99,19895,8317,6228
207444,562,520,13834,-483,-57,170,0,0,0,0,1806,2049,44337,7057,99,19895,8317,6228
207454,326,558,14000,-516,-8,176,0,0,0,0,1804,2037,44344,7059,166,19892,8311,6225
207464,310,616,14052,-593,-94,51,0,0,0,0,1800,2030,44342,7061,166,19889,8305,6222
